epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.8289,0.82267,3.12712,1.32425,0.8647,0.79984,0.88491,0.72483,0.65643,1.10991,1.25681,0.00332402,0.00332402,0.00332402
2,184.453,0.79895,1.87693,1.28323,0.8689,0.87381,0.94345,0.74716,0.72985,0.99921,1.35154,0.0066244,0.0066244,0.0066244
3,272.609,0.88118,1.72474,1.32692,0.54021,0.49387,0.52095,0.31348,1.45853,2.11691,2.47605,0.00989178,0.00989178,0.00989178
4,359.355,0.9389,1.59055,1.36255,0.86111,0.83531,0.90986,0.66079,0.9295,1.0872,1.58577,0.0098515,0.0098515,0.0098515
5,445.756,0.88517,1.32636,1.31936,0.90213,0.92042,0.96388,0.75448,0.77486,0.77533,1.37968,0.009802,0.009802,0.009802
6,531.132,0.85534,1.1572,1.29134,0.93046,0.9572,0.98205,0.82406,0.62425,0.62969,1.24437,0.0097525,0.0097525,0.0097525
7,620.079,0.82104,1.04163,1.26602,0.94228,0.93325,0.97621,0.82405,0.63265,0.58471,1.23876,0.009703,0.009703,0.009703
8,716.097,0.79047,0.96894,1.24481,0.94808,0.94617,0.97948,0.8097,0.64829,0.57844,1.26106,0.0096535,0.0096535,0.0096535
9,806.427,0.77742,0.91088,1.23389,0.96339,0.9488,0.98001,0.81091,0.66519,0.53563,1.28977,0.009604,0.009604,0.009604
10,897.024,0.75624,0.86108,1.2172,0.97537,0.96451,0.98899,0.85653,0.56747,0.46988,1.17356,0.0095545,0.0095545,0.0095545
11,983.407,0.73413,0.8197,1.2042,0.96972,0.97376,0.99088,0.86697,0.53463,0.42421,1.12792,0.009505,0.009505,0.009505
12,1066.17,0.72662,0.78999,1.19971,0.96866,0.95816,0.98297,0.83739,0.60086,0.47195,1.20001,0.0094555,0.0094555,0.0094555
13,1149.8,0.7118,0.75382,1.19272,0.97777,0.98248,0.99239,0.87392,0.53555,0.41542,1.12927,0.009406,0.009406,0.009406
14,1237.28,0.70208,0.73924,1.18605,0.97319,0.95514,0.98756,0.86392,0.54704,0.43098,1.14897,0.0093565,0.0093565,0.0093565
15,1327.09,0.70436,0.72821,1.1822,0.98136,0.97401,0.99185,0.89024,0.49691,0.35524,1.08999,0.009307,0.009307,0.009307
16,1417.76,0.68889,0.69684,1.177,0.9757,0.97557,0.99066,0.88069,0.51635,0.39124,1.11047,0.0092575,0.0092575,0.0092575
17,1508.3,0.6787,0.68721,1.1681,0.98197,0.98046,0.99192,0.88524,0.50693,0.35149,1.09391,0.009208,0.009208,0.009208
18,1605.42,0.66836,0.6679,1.15783,0.97867,0.99322,0.9936,0.90417,0.47395,0.33479,1.0674,0.0091585,0.0091585,0.0091585
19,1698.35,0.66278,0.65586,1.16186,0.98166,0.98995,0.99302,0.9007,0.47051,0.32613,1.0592,0.009109,0.009109,0.009109
20,1790.25,0.64511,0.6449,1.14613,0.98539,0.99027,0.99406,0.90361,0.46122,0.32864,1.04867,0.0090595,0.0090595,0.0090595
21,1883.89,0.66185,0.63963,1.15691,0.98319,0.99219,0.99332,0.89907,0.47023,0.31595,1.06456,0.00901,0.00901,0.00901
22,1983.8,0.64726,0.6162,1.14397,0.98568,0.99251,0.99381,0.89672,0.47762,0.33302,1.07131,0.0089605,0.0089605,0.0089605
23,2092.88,0.64488,0.62175,1.14517,0.99013,0.98978,0.99411,0.90717,0.46467,0.3294,1.05945,0.008911,0.008911,0.008911
24,2200.17,0.63555,0.61367,1.13533,0.98855,0.98709,0.99417,0.90029,0.46463,0.32144,1.04747,0.0088615,0.0088615,0.0088615
25,2303.89,0.6312,0.60723,1.14369,0.99261,0.99005,0.99421,0.9104,0.44921,0.30386,1.03976,0.008812,0.008812,0.008812
26,2410.56,0.62868,0.58861,1.13519,0.98893,0.99086,0.9936,0.90819,0.45571,0.30816,1.0465,0.0087625,0.0087625,0.0087625
27,2519.28,0.61517,0.57398,1.12821,0.99072,0.99241,0.99414,0.91096,0.44019,0.29936,1.04046,0.008713,0.008713,0.008713
28,2626.83,0.62508,0.57506,1.13936,0.99122,0.99075,0.99388,0.91064,0.45133,0.30618,1.04249,0.0086635,0.0086635,0.0086635
29,2737.69,0.616,0.57147,1.13141,0.99019,0.99254,0.99402,0.91447,0.43873,0.29698,1.02616,0.008614,0.008614,0.008614
30,2845.79,0.61072,0.56485,1.12226,0.98949,0.99188,0.99373,0.91529,0.44259,0.2913,1.02698,0.0085645,0.0085645,0.0085645
31,2955.86,0.60069,0.54827,1.11913,0.99297,0.99215,0.99377,0.91459,0.43277,0.29012,1.02297,0.008515,0.008515,0.008515
32,3075.35,0.60785,0.56092,1.1249,0.98792,0.99115,0.99329,0.91076,0.43538,0.30226,1.02908,0.0084655,0.0084655,0.0084655
33,3199.85,0.60126,0.54313,1.11962,0.98639,0.99319,0.99398,0.91788,0.42804,0.28078,1.01279,0.008416,0.008416,0.008416
34,3313.18,0.59835,0.53824,1.11596,0.99021,0.99058,0.99353,0.92126,0.41782,0.2826,1.00736,0.0083665,0.0083665,0.0083665
35,3422.4,0.59754,0.54808,1.11966,0.99072,0.99548,0.99376,0.91793,0.42599,0.27845,1.00526,0.008317,0.008317,0.008317
36,3532.56,0.59186,0.53076,1.10993,0.99179,0.98892,0.99332,0.92123,0.42081,0.2732,1.01079,0.0082675,0.0082675,0.0082675
37,3643.5,0.58987,0.52733,1.11162,0.99129,0.99115,0.99359,0.92483,0.42075,0.27025,1.01011,0.008218,0.008218,0.008218
38,3752.61,0.58288,0.51858,1.10786,0.98969,0.99642,0.99436,0.92814,0.40335,0.25885,0.99597,0.0081685,0.0081685,0.0081685
39,3864.07,0.58189,0.51791,1.10688,0.98539,0.99579,0.99403,0.9245,0.40618,0.2685,1.00232,0.008119,0.008119,0.008119
40,3981.21,0.58291,0.51567,1.10226,0.98947,0.99688,0.99415,0.92633,0.40579,0.2634,0.99278,0.0080695,0.0080695,0.0080695
41,4089.86,0.57714,0.51561,1.10465,0.99394,0.99554,0.99392,0.93188,0.39868,0.25801,0.98488,0.00802,0.00802,0.00802
42,4199.96,0.58446,0.51165,1.10746,0.99422,0.99725,0.99407,0.93398,0.39593,0.24987,0.9865,0.0079705,0.0079705,0.0079705
43,4311.57,0.5719,0.5002,1.10038,0.99034,0.99659,0.99398,0.93238,0.39202,0.2571,0.98408,0.007921,0.007921,0.007921
44,4422.88,0.57588,0.49877,1.09771,0.99192,0.99605,0.99432,0.93392,0.3933,0.24869,0.97896,0.0078715,0.0078715,0.0078715
45,4535.51,0.5671,0.49673,1.09764,0.99433,0.99723,0.99436,0.92887,0.4099,0.25152,0.99703,0.007822,0.007822,0.007822
46,4649.82,0.56673,0.4846,1.0959,0.98871,0.99447,0.99409,0.93143,0.3873,0.2464,0.97501,0.0077725,0.0077725,0.0077725
47,4765.32,0.56679,0.48497,1.09449,0.99317,0.99408,0.99328,0.9326,0.38962,0.23915,0.98107,0.007723,0.007723,0.007723
48,4874.97,0.55867,0.48036,1.09484,0.9936,0.9951,0.99411,0.93713,0.38705,0.24513,0.97346,0.0076735,0.0076735,0.0076735
49,4986.75,0.56245,0.48867,1.0932,0.99333,0.99531,0.99434,0.93698,0.38142,0.23773,0.96749,0.007624,0.007624,0.007624
50,5102.75,0.56099,0.47819,1.09027,0.99283,0.99815,0.99431,0.9374,0.38555,0.24512,0.97414,0.0075745,0.0075745,0.0075745
51,5217.27,0.55886,0.47164,1.09078,0.99123,0.99758,0.99422,0.93471,0.39243,0.24559,0.97781,0.007525,0.007525,0.007525
