epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.2825,0.96972,2.1397,1.44908,0.6842,0.53667,0.69359,0.49289,0.96786,2.10515,1.61724,0.0672586,0.000498599,0.000498599
2,175.855,0.97447,1.58005,1.44924,0.73329,0.60994,0.76346,0.57371,0.90186,1.52021,1.53355,0.0344252,0.000998544,0.000998544
3,263.29,0.95741,1.41922,1.42936,0.60215,0.56683,0.63243,0.42642,1.33226,2.02312,2.16697,0.00159164,0.00149827,0.00149827
4,350.633,0.92035,1.30769,1.39906,0.87866,0.84574,0.92264,0.70967,0.85283,0.89304,1.48551,0.00149925,0.00149925,0.00149925
5,437.98,0.87873,1.19856,1.36407,0.92068,0.92376,0.97213,0.79434,0.66273,0.67443,1.27613,0.00149867,0.00149867,0.00149867
6,524.796,0.83239,1.11933,1.33011,0.94197,0.93559,0.97655,0.83108,0.60635,0.60284,1.22172,0.00149792,0.00149792,0.00149792
7,613.169,0.80354,1.03304,1.29832,0.96801,0.96046,0.98412,0.83928,0.59806,0.51531,1.20807,0.001497,0.001497,0.001497
8,701.719,0.78037,0.99032,1.28512,0.96839,0.96138,0.98627,0.84406,0.60072,0.49589,1.21912,0.00149592,0.00149592,0.00149592
9,789.536,0.76578,0.95908,1.27532,0.96426,0.96272,0.9837,0.85481,0.55252,0.46268,1.16039,0.00149468,0.00149468,0.00149468
10,874.286,0.74954,0.90555,1.26466,0.96865,0.9811,0.98748,0.87026,0.52037,0.40929,1.12532,0.00149327,0.00149327,0.00149327
11,959.029,0.73924,0.89073,1.25463,0.97257,0.96661,0.98707,0.86578,0.5195,0.42232,1.12049,0.00149169,0.00149169,0.00149169
12,1043.65,0.73194,0.86681,1.24694,0.97122,0.95768,0.98843,0.86669,0.54707,0.42208,1.15348,0.00148995,0.00148995,0.00148995
13,1128.66,0.71704,0.84202,1.23373,0.97124,0.96253,0.98722,0.86693,0.52129,0.41896,1.11386,0.00148804,0.00148804,0.00148804
14,1214.58,0.70123,0.81657,1.22223,0.97759,0.97063,0.98875,0.88044,0.49872,0.36735,1.09333,0.00148598,0.00148598,0.00148598
15,1299.92,0.69504,0.8128,1.22145,0.97303,0.9741,0.98959,0.87668,0.4995,0.39179,1.09702,0.00148374,0.00148374,0.00148374
16,1385.83,0.68914,0.78549,1.21251,0.97158,0.98723,0.98948,0.8831,0.49665,0.35473,1.09272,0.00148135,0.00148135,0.00148135
17,1471.23,0.68196,0.76586,1.20881,0.98196,0.98286,0.99161,0.88806,0.47762,0.33124,1.07236,0.00147879,0.00147879,0.00147879
18,1557,0.6817,0.76391,1.2116,0.9783,0.97799,0.98869,0.88919,0.46987,0.35141,1.06249,0.00147608,0.00147608,0.00147608
19,1642.84,0.66153,0.73791,1.19541,0.97702,0.98615,0.99111,0.88961,0.47496,0.33056,1.06647,0.0014732,0.0014732,0.0014732
20,1727.6,0.66774,0.72237,1.19499,0.98314,0.98005,0.99118,0.89838,0.45524,0.31611,1.04305,0.00147016,0.00147016,0.00147016
21,1812.42,0.65837,0.72169,1.19092,0.98237,0.98355,0.99291,0.89882,0.46251,0.32172,1.05523,0.00146696,0.00146696,0.00146696
